Month,Year,yearmon,Location,>5_years_OPD,<5_years_OPD,Total_cases_OPD,RCH,<5_years_IPD,All_cases,Population,Malaria_incidence_per_10000,daytime_temperature,nighttime_temperature,Relative_humidity,monthly_rainfall,Anomalies_rainfall,Anomalies_relative_humidity
Jan,2014,2014-01,Dar-es-salaam,34703,21632,56335,945,1140,58420,4622518,126.3813359,33.4,25.9,76,0.9,-1.28435461,-1.142421935
Feb,2014,2014-02,Dar-es-salaam,29523,19465,48988,717,771,50476,4622518,109.1958971,32.5,24.4,81,80.6,0.293734871,1.005647483
Mar,2014,2014-03,Dar-es-salaam,38277,26749,65026,830,1148,67004,4622518,144.9513014,32.3,23.7,87,426.3,2.090331364,1.160045675
Apr,2014,2014-04,Dar-es-salaam,42675,26295,68970,490,1318,70778,4622518,153.1156828,31.4,23.5,90,449.2,1.402703494,0.974354704
May,2014,2014-05,Dar-es-salaam,51606,29828,81434,568,1401,83403,4622518,180.4276371,30.6,22.4,88,154.5,-0.19608306,0.874328809
Jun,2014,2014-06,Dar-es-salaam,44113,27512,71625,582,1240,73447,4622518,158.8895922,31.1,20.9,84,4.2,-0.506263254,1.111746962
Jul,2014,2014-07,Dar-es-salaam,36166,24984,61150,820,923,62893,4622518,136.0578801,30.4,19.8,82,7.9,-0.53738849,1.343502884
Aug,2014,2014-08,Dar-es-salaam,38248,23506,61754,714,707,63175,4622518,136.6679373,31.8,20,80,0.5,-1.965986321,-0.078086881
Sep,2014,2014-09,Dar-es-salaam,36672,21971,58643,441,1014,60098,4622518,130.0113921,30.6,20.2,80,60.8,2.514729626,0.454369467
Oct,2014,2014-10,Dar-es-salaam,33019,24328,57347,457,1059,58863,4622518,127.339688,32.6,21.7,78,20.1,-0.649789033,-0.624378741
Nov,2014,2014-11,Dar-es-salaam,38973,17801,56774,1199,1236,59209,4622518,128.0881978,33.6,23.1,78,33.9,-0.795838603,-1.299587605
Dec,2014,2014-12,Dar-es-salaam,34905,11935,46840,515,1110,48465,4622518,104.8454544,33.6,25.1,77,40,-0.732991085,-1.242068856
Jan,2015,2015-01,Dar-es-salaam,29446,19711,49157,559,1245,50961,4753612,107.204795,32.7,25.5,76,50.1,-0.492045577,-1.142421935
Feb,2015,2015-02,Dar-es-salaam,32190,21950,54140,523,1591,56254,4753612,118.3394858,34,25.5,74,0.8,-1.630447736,-2.091746765
Mar,2015,2015-03,Dar-es-salaam,29867,13359,43226,512,1152,44890,4753612,94.43345397,33.2,24.6,78,226.2,0.385046769,-1.510757158
Apr,2015,2015-04,Dar-es-salaam,39813,15680,55493,1191,1293,57977,4753612,121.964098,32.9,23.8,83,161,-1.078797967,-1.526489036
May,2015,2015-05,Dar-es-salaam,41262,18030,59292,395,1870,61557,4753612,129.4952133,30.9,22.8,86,342.5,1.127781677,0.038014296
Jun,2015,2015-06,Dar-es-salaam,42550,20851,63401,546,2345,66292,4753612,139.4560599,31.6,20.7,78,3.5,-0.532638268,-2.078483451
Jul,2015,2015-07,Dar-es-salaam,42659,17429,60088,431,2121,62640,4753612,131.7734809,31.2,20.2,79,8.7,-0.48766169,-0.989949494
Aug,2015,2015-08,Dar-es-salaam,38073,17958,56031,909,1640,58580,4753612,123.2326071,30.3,20.1,77,20.9,1.807900167,-2.654953952
Sep,2015,2015-09,Dar-es-salaam,34458,15209,49667,371,1468,51506,4753612,108.3512916,31.3,20.2,77,11,-0.725846448,-1.419904586
Oct,2015,2015-10,Dar-es-salaam,38283,15990,54273,349,1401,56023,4753612,117.8535396,32.8,22,77,15.5,-0.690877917,-0.98586117
Nov,2015,2015-11,Dar-es-salaam,29035,17005,46040,330,1562,47932,4753612,100.8327983,32,24.6,82,132.6,-0.131068206,0.377299627
Dec,2015,2015-12,Dar-es-salaam,29663,19631,49294,417,1619,51330,4753612,107.9810468,33.1,26,79,66.1,-0.48809775,-0.588348405
Jan,2016,2016-01,Dar-es-salaam,30807,12990,43797,893,1494,46184,4885865,94.52573905,33,26.8,77,154.2,1.18436439,-0.761614623
Feb,2016,2016-02,Dar-es-salaam,37319,17157,54476,452,1371,56299,4885865,115.2283168,32.3,25.8,80,98.7,0.730172279,0.563162591
Mar,2016,2016-03,Dar-es-salaam,37885,25933,63818,361,1788,65967,4885865,135.0160105,31,27,83,56.2,-1.063720753,-0.026977806
Apr,2016,2016-04,Dar-es-salaam,30111,12613,42724,269,1046,44039,4885865,90.1355236,31,24.6,91,352.8,0.572666226,1.331618095
May,2016,2016-05,Dar-es-salaam,34646,15698,50344,449,1646,52439,4885865,107.3279757,31.2,22.5,81,8.6,-1.223486599,-2.052771987
Jun,2016,2016-06,Dar-es-salaam,34498,12788,47286,259,1904,49449,4885865,101.2082814,30.7,21.1,81,3.5,-0.532638268,-0.483368245
Jul,2016,2016-07,Dar-es-salaam,30439,10428,40867,199,1363,42429,4885865,86.84030361,30.1,19.8,80,1.9,-0.910339493,-0.212132034
Aug,2016,2016-08,Dar-es-salaam,25365,13194,38559,294,1243,40096,4885865,82.06530471,30.7,20.4,80,4.3,-1.263007466,-0.078086881
Sep,2016,2016-09,Dar-es-salaam,24577,9732,34309,313,1113,35735,4885865,73.13955666,30.4,20,80,26.8,0.30228813,0.454369467
Oct,2016,2016-10,Dar-es-salaam,24173,9666,33839,299,967,35105,4885865,71.85012275,31.6,19,79,0.1,-0.828436355,-0.262896312
Nov,2016,2016-11,Dar-es-salaam,21675,9572,31247,288,943,32478,4885865,66.47338803,31.7,23.9,81,49.6,-0.690094984,-0.041922181
Dec,2016,2016-12,Dar-es-salaam,22176,8935,31111,207,1129,32447,4885865,66.40993969,31.5,26.9,81,26.2,-0.862474917,0.065372045
Jan,2017,2017-01,Dar-es-salaam,22135,10880,33015,421,1030,34466,5017294,68.69439981,33.7,26.4,79,6.3,-1.197393863,0
Feb,2017,2017-02,Dar-es-salaam,18728,6807,25535,458,920,26913,5017294,53.64046835,33.5,25.9,78,97,0.68918092,-0.321807195
Mar,2017,2017-03,Dar-es-salaam,22411,11761,34172,908,1089,36169,5017294,72.08865974,33,25,84,108.9,-0.614602821,0.269778064
Apr,2017,2017-04,Dar-es-salaam,21892,9326,31218,319,1156,32693,5017294,65.16062244,30.9,24.2,88,239.4,-0.40374691,0.259827921
May,2017,2017-05,Dar-es-salaam,24190,8274,32464,520,1474,34458,5017294,68.67845496,29.9,23.4,86,363.1,1.272843451,0.038014296
Jun,2017,2017-06,Dar-es-salaam,26704,7328,34032,227,1575,35834,5017294,71.42096915,30.3,22.1,81,23.3,0.21339784,-0.483368245
Jul,2017,2017-07,Dar-es-salaam,28307,8303,36610,245,1572,38427,5017294,76.58909364,29.8,20.2,81,4.8,-0.730079842,0.565685425
Aug,2017,2017-08,Dar-es-salaam,22766,7461,30227,291,1095,31613,5017294,63.0080677,30.5,21,82,13.2,0.383443012,1.6398245
Sep,2017,2017-09,Dar-es-salaam,22296,8543,30839,222,933,31994,5017294,63.76744117,31.2,21.1,79,39.5,1.1287001,-0.17038855
Oct,2017,2017-10,Dar-es-salaam,22317,9576,31893,335,708,32936,5017294,65.64494726,31.8,21.9,80,195.3,0.915161509,0.098586117
Nov,2017,2017-11,Dar-es-salaam,20116,7145,27261,277,784,28322,5017294,56.44875505,31.5,23.6,81,111.9,-0.270488137,-0.041922181
Dec,2017,2017-12,Dar-es-salaam,23441,6943,30384,203,1131,31718,5017294,63.21734385,32.1,25.1,79,45.9,-0.677632055,-0.588348405
Jan,2018,2018-01,Dar-es-salaam,23921,7753,31674,339,1158,33171,5147070,64.44637435,31.2,24,83,113,0.520886094,1.523229246
Feb,2018,2018-02,Dar-es-salaam,21516,7552,29068,492,1048,30608,5147070,59.4668423,33.2,24.9,80,9.6,-1.418257173,0.563162591
Mar,2018,2018-03,Dar-es-salaam,18325,6345,24670,266,927,25863,5147070,50.24800518,32.4,23.9,87,195.6,0.124268615,1.160045675
Apr,2018,2018-04,Dar-es-salaam,17548,5745,23293,230,1092,24615,5147070,47.82332473,30.4,23.3,91,417.6,1.130616589,1.331618095
May,2018,2018-05,Dar-es-salaam,24113,6274,30387,254,1340,31981,5147070,62.13437937,30.2,22.7,88,260.4,0.549647129,0.874328809
Jun,2018,2018-06,Dar-es-salaam,26173,6486,32659,214,1894,34767,5147070,67.54716761,30.3,20.7,83,15.2,-0.09179875,0.580041893
Jul,2018,2018-07,Dar-es-salaam,22469,6896,29365,319,1490,31174,5147070,60.56649706,29.8,20.4,80,8.7,-0.48766169,-0.212132034
Aug,2018,2018-08,Dar-es-salaam,18773,7484,26257,523,1335,28115,5147070,54.62330996,30.7,19.5,80,11.1,-0.005045303,-0.078086881
Sep,2018,2018-09,Dar-es-salaam,17284,7107,24391,222,1069,25682,5147070,49.8963488,31.4,20.6,80,15.6,-0.426516128,0.454369467
Oct,2018,2018-10,Dar-es-salaam,15575,6067,21642,237,961,22840,5147070,44.37476079,31.8,21.6,82,19.4,-0.656041689,0.821550975
Nov,2018,2018-11,Dar-es-salaam,12967,5308,18275,212,975,19462,5147070,37.81180361,33.1,23,81,25.5,-0.852414807,-0.041922181
Dec,2018,2018-12,Dar-es-salaam,12642,4503,17145,183,1132,18460,5147070,35.86506498,33.2,24.5,82,116.7,-0.013323699,0.39223227
Jan,2019,2019-01,Dar-es-salaam,19847,6878,26725,214,1283,28222,5275315,53.49822712,32.9,25.3,80,34.9,-0.736823977,0.380807312
Feb,2019,2019-02,Dar-es-salaam,12635,4480,17115,257,1203,18575,5275315,35.21116748,34.3,25.8,79,60.9,-0.18128264,0.120677698
Mar,2019,2019-03,Dar-es-salaam,13888,4392,18280,176,1055,19511,5275315,36.98546911,33.6,25,82,157.4,-0.201277969,-0.323733677
